,ts_code,trade_date,open,high,low,close,vol,ts_code,pre_trade_date,pre_open,pre_high,pre_low,pre_close,pre_vol,asset
0,MHI.HKEX,2023-01-03 09:30:00,19455.0,19973.0,19338.0,19941.0,38719.0,,,,,,,,MHI
1,MHI.HKEX,2023-01-03 10:30:00,19943.0,20095.0,19931.0,20091.0,18518.0,MHI.HKEX,2023-01-03 09:30:00,19455.0,19973.0,19338.0,19941.0,38719.0,MHI
2,MHI.HKEX,2023-01-03 11:30:00,20092.0,20189.0,20072.0,20118.0,11082.0,MHI.HKEX,2023-01-03 10:30:00,19943.0,20095.0,19931.0,20091.0,18518.0,MHI
3,MHI.HKEX,2023-01-03 13:30:00,20120.0,20305.0,20120.0,20273.0,11559.0,MHI.HKEX,2023-01-03 11:30:00,20092.0,20189.0,20072.0,20118.0,11082.0,MHI
4,MHI.HKEX,2023-01-03 14:30:00,20272.0,20280.0,20154.0,20170.0,8068.0,MHI.HKEX,2023-01-03 13:30:00,20120.0,20305.0,20120.0,20273.0,11559.0,MHI
5,MHI.HKEX,2023-01-03 15:30:00,20170.0,20262.0,20150.0,20242.0,6824.0,MHI.HKEX,2023-01-03 14:30:00,20272.0,20280.0,20154.0,20170.0,8068.0,MHI
6,MHI.HKEX,2023-01-03 17:15:00,20245.0,20316.0,20241.0,20277.0,2290.0,MHI.HKEX,2023-01-03 15:30:00,20170.0,20262.0,20150.0,20242.0,6824.0,MHI
7,MHI.HKEX,2023-01-03 18:15:00,20278.0,20281.0,20248.0,20256.0,823.0,MHI.HKEX,2023-01-03 17:15:00,20245.0,20316.0,20241.0,20277.0,2290.0,MHI
8,MHI.HKEX,2023-01-03 19:15:00,20253.0,20276.0,20165.0,20186.0,1981.0,MHI.HKEX,2023-01-03 18:15:00,20278.0,20281.0,20248.0,20256.0,823.0,MHI
9,MHI.HKEX,2023-01-03 20:15:00,20183.0,20225.0,20161.0,20172.0,1676.0,MHI.HKEX,2023-01-03 19:15:00,20253.0,20276.0,20165.0,20186.0,1981.0,MHI
10,MHI.HKEX,2023-01-03 21:15:00,20172.0,20242.0,20169.0,20223.0,1340.0,MHI.HKEX,2023-01-03 20:15:00,20183.0,20225.0,20161.0,20172.0,1676.0,MHI
11,MHI.HKEX,2023-01-03 22:15:00,20222.0,20468.0,20215.0,20323.0,9692.0,MHI.HKEX,2023-01-03 21:15:00,20172.0,20242.0,20169.0,20223.0,1340.0,MHI
12,MHI.HKEX,2023-01-03 23:15:00,20326.0,20451.0,20269.0,20363.0,5079.0,MHI.HKEX,2023-01-03 22:15:00,20222.0,20468.0,20215.0,20323.0,9692.0,MHI
13,MHI.HKEX,2023-01-04 00:15:00,20365.0,20411.0,20263.0,20271.0,2504.0,MHI.HKEX,2023-01-03 23:15:00,20326.0,20451.0,20269.0,20363.0,5079.0,MHI
14,MHI.HKEX,2023-01-04 01:15:00,20273.0,20296.0,20229.0,20252.0,1185.0,MHI.HKEX,2023-01-04 00:15:00,20365.0,20411.0,20263.0,20271.0,2504.0,MHI
15,MHI.HKEX,2023-01-04 02:15:00,20252.0,20434.0,20249.0,20412.0,4791.0,MHI.HKEX,2023-01-04 01:15:00,20273.0,20296.0,20229.0,20252.0,1185.0,MHI
