,cash,margin,realized_pnl,unrealized_pnl,equity,available
2023-01-03 10:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 11:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 13:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 14:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 15:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 17:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 18:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 19:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 20:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 21:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 22:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-03 23:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 00:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 01:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 02:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 09:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 10:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 11:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 13:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 14:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 15:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 17:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 18:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 19:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 20:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 21:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 22:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-04 23:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 00:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 01:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 02:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 09:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 10:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 11:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 13:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 14:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 15:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 17:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 18:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 19:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 20:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 21:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 22:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-05 23:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 00:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 01:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 02:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 09:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 10:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 11:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 13:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 14:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 15:30:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 17:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 18:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 19:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 20:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 21:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 22:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-06 23:15:00,50000.0,0.0,0.0,0.0,50000.0,50000.0
2023-01-07 00:15:00,49987.16,21400.0,0.0,-960.0,49027.16,27627.160000000003
2023-01-07 01:15:00,49987.16,21400.0,0.0,0.0,49987.16,28587.160000000003
2023-01-07 02:15:00,49987.16,21400.0,0.0,-180.0,49807.16,28407.160000000003
2023-01-09 09:30:00,49987.16,21400.0,0.0,-480.0,49507.16,28107.160000000003
2023-01-09 10:30:00,49987.16,21400.0,0.0,-250.0,49737.16,28337.160000000003
2023-01-09 11:30:00,49987.16,21400.0,0.0,80.0,50067.16,28667.160000000003
2023-01-09 13:30:00,49987.16,21400.0,0.0,-410.0,49577.16,28177.160000000003
2023-01-09 14:30:00,49987.16,21400.0,0.0,370.0,50357.16,28957.160000000003
2023-01-09 15:30:00,49987.16,21400.0,0.0,450.0,50437.16,29037.160000000003
